Lead Origin,Lead Source,Converted,Last Activity,Specialization,What is your current occupation,Tags,A free copy of Mastering The Interview,Engagement Score,Lead Quality Score
API,Olark Chat,0,Page Visited on Website,Finance Management,Unemployed,Interested in other courses,0,0.0,1
API,Organic Search,0,Email Opened,Finance Management,Unemployed,Ringing,0,140.41666666666666,2
Landing Page Submission,Direct Traffic,1,Email Opened,Business Administration,Student,Will revert after reading the email,1,102.13333333333334,3
Landing Page Submission,Direct Traffic,0,Unreachable,Media and Advertising,Unemployed,Ringing,0,5.083333333333333,2
Landing Page Submission,Google,1,Converted to Lead,Finance Management,Unemployed,Will revert after reading the email,0,47.6,3
API,Olark Chat,0,Olark Chat Conversation,Not Specified,Other,Ringing,0,0.0,2
Landing Page Submission,Google,1,Email Opened,Supply Chain Management,Unemployed,Will revert after reading the email,0,109.33333333333333,1
API,Olark Chat,0,Olark Chat Conversation,Not Specified,Other,Ringing,0,0.0,2
Landing Page Submission,Direct Traffic,0,Email Opened,IT Projects Management,Other,Ringing,1,4.733333333333333,2
API,Google,0,Email Opened,Finance Management,Other,Ringing,0,15.466666666666667,2
Landing Page Submission,Organic Search,1,Email Opened,Travel and Tourism,Unemployed,Will revert after reading the email,1,1441.0666666666666,3
Landing Page Submission,Direct Traffic,1,Page Visited on Website,Human Resource Management,Unemployed,Lost to EINS,1,478.108,3
API,Organic Search,1,Email Opened,Marketing Management,Unemployed,Will revert after reading the email,0,3101.633333333333,3
Landing Page Submission,Organic Search,0,Email Opened,Business Administration,Unemployed,Ringing,1,70.83333333333334,2
Landing Page Submission,Direct Traffic,0,Email Bounced,Business Administration,Unemployed,Ringing,0,8.016666666666667,2
API,Organic Search,1,Email Opened,Finance Management,Unemployed,Will revert after reading the email,0,607.2,3
API,Olark Chat,0,Olark Chat Conversation,Not Specified,Other,Ringing,0,0.0,2
API,Referral Sites,0,Email Link Clicked,Finance Management,Unemployed,Interested in other courses,0,583.8,3
Landing Page Submission,Google,1,Page Visited on Website,Marketing Management,Unemployed,Will revert after reading the email,0,506.4,3
API,Organic Search,0,Page Visited on Website,Finance Management,Unemployed,Interested in other courses,0,14.7,0
Landing Page Submission,Google,0,Unreachable,Media and Advertising,Unemployed,Interested in other courses,0,3.8833333333333333,2
API,Google,0,Page Visited on Website,Finance Management,Unemployed,In confusion whether part time or DLP,0,33.42733333333334,0
Landing Page Submission,Google,1,Converted to Lead,"Banking, Investment And Insurance",Unemployed,Will revert after reading the email,0,16.883333333333333,1
Landing Page Submission,Google,0,Email Link Clicked,Finance Management,Unemployed,Ringing,0,205.6,2
API,Google,1,Email Opened,Marketing Management,Unemployed,Will revert after reading the email,1,170.54999999999998,4
Landing Page Submission,Google,1,Form Submitted on Website,Travel and Tourism,Unemployed,Busy,0,160.20000000000002,2
Landing Page Submission,Organic Search,1,Email Opened,Finance Management,Unemployed,Will revert after reading the email,1,133.33333333333334,1
Landing Page Submission,Google,1,Email Opened,Media and Advertising,Unemployed,Will revert after reading the email,0,789.0,4
Landing Page Submission,Direct Traffic,0,Email Opened,Finance Management,Student,switched off,0,75.83333333333333,2
API,Google,1,Unreachable,International Business,Unemployed,Will revert after reading the email,0,11.700000000000001,4
Landing Page Submission,Direct Traffic,1,Email Opened,Human Resource Management,Unemployed,Will revert after reading the email,1,479.3833333333333,3
API,Google,0,Email Opened,Finance Management,Unemployed,Interested in other courses,0,6.6,2
API,Referral Sites,0,Page Visited on Website,Finance Management,Unemployed,Interested in other courses,0,29.733333333333334,1
API,Organic Search,0,Email Opened,Not Specified,Other,Ringing,0,5.550000000000001,2
Landing Page Submission,Organic Search,1,Page Visited on Website,E-COMMERCE,Unemployed,Will revert after reading the email,1,2.1333333333333333,3
API,Referral Sites,1,Email Opened,Human Resource Management,Unemployed,Will revert after reading the email,0,14.7,4
Landing Page Submission,Google,0,Unreachable,Operations Management,Unemployed,Ringing,0,432.53333333333336,3
Landing Page Submission,Google,1,Email Opened,Finance Management,Working Professional,Will revert after reading the email,0,234.58333333333331,1
API,Google,0,Email Link Clicked,Finance Management,Unemployed,Ringing,0,20.666666666666668,2
Landing Page Submission,Google,1,Email Opened,Operations Management,Unemployed,Will revert after reading the email,0,6.666666666666667,4
API,Direct Traffic,0,Email Opened,Finance Management,Unemployed,Busy,0,51.300000000000004,2
Landing Page Submission,Organic Search,0,Unsubscribed,Retail Management,Unemployed,Busy,1,31.03333333333333,2
API,Google,0,Email Opened,Finance Management,Unemployed,Ringing,0,82.91666666666667,2
Landing Page Submission,Google,0,Email Opened,Finance Management,Other,Ringing,0,92.5,2
Landing Page Submission,Direct Traffic,0,Email Opened,Operations Management,Unemployed,in touch with EINS,1,82.5,2
Landing Page Submission,Google,0,Email Opened,Marketing Management,Unemployed,Ringing,0,38.266666666666666,3
Landing Page Submission,Direct Traffic,0,Email Opened,Finance Management,Unemployed,Already a student,1,36.46666666666667,4
API,Olark Chat,0,Olark Chat Conversation,Not Specified,Other,Ringing,0,0.0,2
API,Google,0,Page Visited on Website,Supply Chain Management,Unemployed,Diploma holder (Not Eligible),0,735.0,0
API,Olark Chat,0,Olark Chat Conversation,Not Specified,Other,Ringing,0,0.0,2
API,Olark Chat,1,Email Opened,Finance Management,Unemployed,Will revert after reading the email,0,0.0,1
Landing Page Submission,Google,0,Email Opened,Business Administration,Unemployed,Already a student,0,66.66666666666666,2
Landing Page Submission,Organic Search,0,Unreachable,E-COMMERCE,Unemployed,Ringing,1,78.8,3
API,Google,0,Olark Chat Conversation,Not Specified,Other,Ringing,0,42.9,2
API,Organic Search,0,Email Opened,Not Specified,Other,Ringing,0,26.096000000000004,2
API,Organic Search,0,Email Opened,Finance Management,Unemployed,switched off,0,0.8,2
Landing Page Submission,Referral Sites,1,Form Submitted on Website,IT Projects Management,Unemployed,Busy,0,1228.0666666666666,1
API,Referral Sites,1,Page Visited on Website,Finance Management,Unemployed,Will revert after reading the email,0,963.2,4
Landing Page Submission,Organic Search,0,Email Opened,Human Resource Management,Unemployed,Interested in other courses,1,985.0083333333333,2
Landing Page Submission,Referral Sites,0,Email Opened,Services Excellence,Unemployed,Graduation in progress,1,690.7083333333333,2
API,Google,0,Form Submitted on Website,International Business,Unemployed,Interested in other courses,0,56.8,2
API,Olark Chat,0,Email Opened,Finance Management,Unemployed,Ringing,0,0.0,2
API,Organic Search,1,Page Visited on Website,Marketing Management,Unemployed,Will revert after reading the email,0,599.4333333333333,4
API,Olark Chat,0,Email Link Clicked,Not Specified,Other,Ringing,0,0.0,2
Landing Page Submission,Direct Traffic,1,Email Opened,Operations Management,Working Professional,Will revert after reading the email,1,382.6666666666667,3
Landing Page Submission,Google,1,Converted to Lead,Hospitality Management,Unemployed,Will revert after reading the email,0,2.6166666666666667,3
API,Google,1,Had a Phone Conversation,Operations Management,Unemployed,Will revert after reading the email,0,66.375,4
API,Olark Chat,1,Email Opened,Finance Management,Unemployed,Will revert after reading the email,0,0.0,1
API,Olark Chat,0,View in browser link Clicked,Finance Management,Unemployed,Interested in other courses,0,0.0,1
API,Olark Chat,0,Olark Chat Conversation,Finance Management,Unemployed,Ringing,0,0.0,2
Landing Page Submission,Direct Traffic,0,Converted to Lead,Retail Management,Unemployed,Already a student,1,28.5,0
Landing Page Submission,Direct Traffic,0,Email Opened,Business Administration,Unemployed,Ringing,0,58.4,2
Landing Page Submission,Referral Sites,0,Email Bounced,International Business,Unemployed,Ringing,1,16.650000000000002,2
API,Organic Search,0,Page Visited on Website,Finance Management,Unemployed,switched off,0,134.4,2
Landing Page Submission,Direct Traffic,0,Page Visited on Website,Operations Management,Other,Ringing,1,31.173333333333332,2
Landing Page Submission,Direct Traffic,1,Email Opened,Marketing Management,Unemployed,Lost to EINS,1,71.4,2
Landing Page Submission,Google,1,Email Opened,"Banking, Investment And Insurance",Working Professional,Will revert after reading the email,0,178.5,1
